species	longitude	latitude
Myrmecophaga tridactyla	-46.490343	-20.203922
Myrmecophaga tridactyla	-46.492789	-20.20345
Myrmecophaga tridactyla	-46.495321	-20.201948
Myrmecophaga tridactyla	-46.488926	-20.200896
Myrmecophaga tridactyla	-46.466053	-20.221088
Myrmecophaga tridactyla	-46.466117	-20.220444
Myrmecophaga tridactyla	-46.464701	-20.218792
Myrmecophaga tridactyla	-46.463907	-20.218406
Myrmecophaga tridactyla	-46.464872	-20.214522
Myrmecophaga tridactyla	-46.464057	-20.213599
Myrmecophaga tridactyla	-46.454573	-20.217204
Myrmecophaga tridactyla	-46.457062	-20.217376
Myrmecophaga tridactyla	-46.453135	-20.218363
Myrmecophaga tridactyla	-46.453199	-20.220852
Myrmecophaga tridactyla	-56.646087	-19.013429
Myrmecophaga tridactyla	-56.648726	-19.016497
Myrmecophaga tridactyla	-56.641023	-19.016883
Myrmecophaga tridactyla	-56.651001	-19.020982
Myrmecophaga tridactyla	-56.64422	-19.015403
Myrmecophaga tridactyla	-56.652031	-19.019415
Myrmecophaga tridactyla	-56.64289	-19.012034
Myrmecophaga tridactyla	-56.642697	-19.013193
Myrmecophaga tridactyla	-56.64907	-19.021454
Myrmecophaga tridactyla	-56.653726	-19.022613
Myrmecophaga tridactyla	-56.652761	-19.024694
Myrmecophaga tridactyla	-56.648533	-19.035165
Myrmecophaga tridactyla	-56.654177	-19.035616
Myrmecophaga tridactyla	-56.660228	-19.041882
Myrmecophaga tridactyla	-56.660872	-19.03465
Myrmecophaga tridactyla	-56.668661	-19.03568
Myrmecophaga tridactyla	-56.663811	-19.034264
Myrmecophaga tridactyla	-56.652331	-19.045551
Myrmecophaga tridactyla	-56.652052	-19.03038
Myrmecophaga tridactyla	-56.660807	-19.036582
Myrmecophaga tridactyla	-56.653554	-19.027119
Myrmecophaga tridactyla	-56.615081	-18.9768
Myrmecophaga tridactyla	-56.617248	-18.974655
Myrmecophaga tridactyla	-56.618772	-18.97753
Myrmecophaga tridactyla	-56.621561	-18.977637
Myrmecophaga tridactyla	-56.619072	-18.9762
Myrmecophaga tridactyla	-56.623642	-18.978817
Myrmecophaga tridactyla	-56.623127	-18.979418
Myrmecophaga tridactyla	-56.618729	-18.977423
Myrmecophaga tridactyla	-56.6239	-18.985662
Myrmecophaga tridactyla	-56.617076	-18.975813
Myrmecophaga tridactyla	-56.612763	-18.971779
Myrmecophaga tridactyla	-56.641023	-19.000468
Myrmecophaga tridactyla	-56.648104	-19.010682
